sample_id,method,test_role,source_family,sensor_strategy,noise_level,sensor_count_bin,rmse,mae,relative_l2,maximum_absolute_error,source_integral_error,source_peak_value_error,source_peak_location_distance,nonnegative_violation_fraction,boundary_maximum_absolute,source_squared_error_sum,source_absolute_error_sum,source_target_squared_sum,source_valid_node_count,source_global_maximum_absolute,source_integral_error_sum,nonnegative_violation_count,boundary_value_count,boundary_global_maximum_absolute,physics_temperature_rmse,physics_temperature_mae,clean_sensor_residual_rms,noisy_measurement_residual_rms,clean_relative_sensor_residual,noisy_relative_sensor_residual,temperature_squared_error_sum,temperature_absolute_error_sum,temperature_node_count,clean_sensor_squared_error_sum,clean_sensor_count,clean_sensor_reference_squared_sum,noisy_sensor_squared_error_sum,noisy_sensor_count,noisy_sensor_reference_squared_sum
syn-7dd1c308a4a9e555888cd8d5,full_residual_attention,test_id,multiple_gaussians,regular_grid,0.0,"[80,120)",0.32768597678766853,0.16036256563960638,0.3209689205983726,2.0508320427236733,-27.289200691051178,-1.9034326200853133,2.23606797749979,0.0,0.0,96.6402894449596,144.32630907564575,938.0635445900438,900,2.0508320427236733,-27.289200691051178,0,124,0.0,0.002582596843002414,0.0018373028170332708,0.002483570333217923,0.002483570333217923,0.09459808133438699,0.09459808133438699,0.0068298818083697005,1.8813980846420693,1024,0.0005859715520038175,95,0.06548048330049458,0.0005859715520038175,95,0.06548048330049458
syn-7dd1c308a4a9e555888cd8d5,residual_no_attention,test_id,multiple_gaussians,regular_grid,0.0,"[80,120)",0.3972073196706919,0.20391566685572407,0.38906518337550183,1.9475968008409286,54.06434253089935,-1.6976819162736678,2.23606797749979,0.0,0.0,141.99628931997768,183.52410017015166,938.0635445900438,900,1.9475968008409286,54.06434253089935,0,124,0.0,0.0016385191966794101,0.000997977460903476,0.0016264371806948472,0.0016264371806948472,0.061950263556776776,0.061950263556776776,0.0027491790416762263,1.0219289199651593,1024,0.00025130330076092726,95,0.06548048330049458,0.00025130330076092726,95,0.06548048330049458
syn-7dd1c308a4a9e555888cd8d5,direct_sparse_mask,test_id,multiple_gaussians,regular_grid,0.0,"[80,120)",0.2950228545521372,0.14668196921854063,0.2889753418981635,1.9024796610246444,9.349749016099281,-1.8039598589311385,1.0,0.0,0.0,78.33463623728238,132.01377229668657,938.0635445900438,900,1.9024796610246444,9.349749016099281,0,124,0.0,0.0015059992861572145,0.0010315631074024367,0.0014091479924843286,0.0014091479924843286,0.05367381572500204,0.05367381572500204,0.0023224666623037843,1.0563206219800951,1024,0.0001886413161486483,95,0.06548048330049458,0.0001886413161486483,95,0.06548048330049458
syn-7dd1c308a4a9e555888cd8d5,identity,test_id,multiple_gaussians,regular_grid,0.0,"[80,120)",0.7939206978514373,0.35278481836751185,0.777646550298371,4.574177032147749,-168.00833545455737,-4.398743196402451,2.0,0.0,0.0,567.2790670292218,317.5063365307607,938.0635445900438,900,4.574177032147749,-168.00833545455737,0,124,0.0,0.011676895306564888,0.006581755179361846,0.011243663737234939,0.011243663737234939,0.4282661145067396,0.4282661145067396,0.13962228121648854,6.73971730366653,1024,0.012009897552421135,95,0.06548048330049458,0.012009897552421135,95,0.06548048330049458
syn-7dd1c308a4a9e555888cd8d5,smoothness,test_id,multiple_gaussians,regular_grid,0.0,"[80,120)",0.7052636622091976,0.4359584534419569,0.6908068468954393,3.889824202609595,95.83831446945123,-3.78772069166437,5.830951894845301,0.0,0.0,447.65714990945617,392.3626080977612,938.0635445900438,900,3.889824202609595,95.83831446945123,0,124,0.0,0.005354378468793741,0.0032973887916980032,0.005061533699438488,0.005061533699438488,0.1927915510070675,0.1927915510070675,0.029357433637971976,3.3765261226987553,1024,0.0024338167221023893,95,0.06548048330049458,0.0024338167221023893,95,0.06548048330049458
syn-086f5a8327d323f4c573bf9e,full_residual_attention,test_id,multiple_gaussians,random,0.005,"[120,161)",0.28558457647777497,0.15986154988924256,0.26899705339946395,2.268645254505997,-16.940888942692254,-0.4970414409246091,1.4142135623730951,0.0,0.0,73.4026952897911,143.8753949003183,1014.418034695007,900,2.268645254505997,-16.940888942692254,0,124,0.0,0.003653089488186032,0.002495492589842071,0.003936342828457423,0.003936851545994967,0.09321728018837988,0.09329874590307394,0.013665344316103972,2.555384411998281,1024,0.0024636723832405618,159,0.2835241784146765,0.0024643092151372713,159,0.28310242458669876
syn-086f5a8327d323f4c573bf9e,residual_no_attention,test_id,multiple_gaussians,random,0.005,"[120,161)",0.24566214636700814,0.12295149370858989,0.2313934257918713,2.17020669354332,-11.821573497269128,-0.5689782867040281,2.8284271247461903,0.0,0.0,54.314901141880796,110.6563443377309,1014.418034695007,900,2.17020669354332,-11.821573497269128,0,124,0.0,0.0011612310914962999,0.0008050454171332761,0.0011118789765467195,0.001214619585278685,0.026330616668604964,0.028785053927445684,0.0013808206314062724,0.8243665071444747,1024,0.0001965677024993663,159,0.2835241784146765,0.00023457281717386775,159,0.28310242458669876
syn-086f5a8327d323f4c573bf9e,direct_sparse_mask,test_id,multiple_gaussians,random,0.005,"[120,161)",0.22894993241254114,0.12370755115965035,0.21565190233504386,2.3355552084578326,-27.343323306653474,-0.007357812842333722,1.4142135623730951,0.0,0.0,47.17626439653644,111.33679604368531,1014.418034695007,900,2.3355552084578326,-27.343323306653474,0,124,0.0,0.002141439673397605,0.0014753349587478856,0.002208383551503852,0.002232894513043072,0.052297149220769584,0.05291697067234038,0.004695822207796471,1.5107429977578348,1024,0.00077543630777789,159,0.2835241784146765,0.0007927450471140794,159,0.28310242458669876
syn-086f5a8327d323f4c573bf9e,identity,test_id,multiple_gaussians,random,0.005,"[120,161)",0.8635379316815981,0.4417417238511673,0.8133813176675349,3.5900781485400666,-329.1791598981829,-3.497834771519038,5.0990195135927845,0.0,0.0,671.1279835076391,397.56755146605053,1014.418034695007,900,3.5900781485400666,-329.1791598981829,0,124,0.0,0.028750714373822088,0.020401316219162247,0.029992884941660452,0.02996294616277103,0.7102671899033358,0.7100865419707731,0.8464420628532223,20.89094780842214,1024,0.1430321303926655,159,0.2835241784146765,0.14274672469774533,159,0.28310242458669876
syn-086f5a8327d323f4c573bf9e,smoothness,test_id,multiple_gaussians,random,0.005,"[120,161)",0.9114060246520327,0.7996075654781819,0.8584691025882327,2.886577194567353,343.44459108518686,-2.8546529562366407,4.47213595499958,0.0,0.0,747.5948475948195,719.6468089303637,1014.418034695007,900,2.886577194567353,343.44459108518686,0,124,0.0,0.008969390983369865,0.006984962779607922,0.00977399511712305,0.009774379492487457,0.23145982987202385,0.23164128440594486,0.082380774003258,7.152601886318513,1024,0.015189425907377692,159,0.2835241784146765,0.015190620619642336,159,0.28310242458669876
