method,test_role,aggregation_type,sample_count,rmse,mae,relative_l2,maximum_absolute_error,source_integral_error,source_peak_value_error,source_peak_location_distance,nonnegative_violation_fraction,boundary_maximum_absolute,physics_temperature_rmse,physics_temperature_mae,clean_sensor_residual_rms,noisy_measurement_residual_rms,clean_relative_sensor_residual,noisy_relative_sensor_residual,noisy_sensor_reference_squared_sum,noisy_sensor_squared_error_sum,temperature_squared_error_sum,source_integral_error_sum,boundary_value_count,source_absolute_error_sum,nonnegative_violation_count,temperature_node_count,source_global_maximum_absolute,source_target_squared_sum,source_valid_node_count,clean_sensor_reference_squared_sum,temperature_absolute_error_sum,boundary_global_maximum_absolute,clean_sensor_squared_error_sum,source_squared_error_sum,noisy_sensor_count,clean_sensor_count
direct_sparse_mask,test_id,mean_per_sample,120,0.21766480715085484,0.10533307878730769,0.35573592285547295,1.2729854573024242,-6.305392972571005,-0.07002001112593267,2.955912752272269,0.0,0.0,0.0013860303610280303,0.0009018255038788964,0.001337950176621122,0.0014995147830817151,0.07788609266061688,0.0861985783187946,,,,,,,,,,,,,,,,,,
direct_sparse_mask,test_id,pooled_global,120,0.26659305338418077,0.10533307878730766,0.35275965913043306,3.692157067950361,-756.6471567085207,,,0.0,0.0,0.0019607262117467533,0.0009018255038788959,0.0016462828538214172,0.0018384371772185086,0.065710247723383,0.07328061739282732,7.454486749183947,0.04003095825923555,0.47240568145069345,-756.6471567085207,14880.0,11375.972509029227,0.0,122880.0,3.692157067950361,61682.72968288578,108000.0,7.4343174156861025,110.81631791663874,0.0,0.03210016824881,7675.76046017167,11844.0,11844.0
direct_sparse_mask,test_ood_noise,mean_per_sample,84,0.28213155901949516,0.14654038590089938,0.5154813860751994,1.5737908627916992,16.025974460171987,-0.2012553425800058,3.9811880311543115,0.0,0.0,0.002116084144721981,0.0014038810142137329,0.002048834809106203,0.004806260244965399,0.14817869982127702,0.2862274878514527,,,,,,,,,,,,,,,,,,
direct_sparse_mask,test_ood_noise,pooled_global,84,0.339897667863567,0.14654038590089935,0.45375701300563903,4.60777638211725,1346.1818546544469,,,0.0,0.0,0.0029138163818850406,0.001403881014213733,0.00253760362742911,0.0059841087355963695,0.1028402495598669,0.23518564638081413,4.891159168130137,0.2705412058505751,0.7303038732458975,1346.1818546544469,10416.0,11078.453174107992,0.0,86016.0,4.60777638211725,42420.07816662194,75600.0,4.599978457882164,120.75622931860848,0.0,0.0486499100439071,8734.100101203332,7555.0,7555.0
direct_sparse_mask,test_ood_sensor,mean_per_sample,72,0.26682469290304645,0.13036482931190843,0.4587897976370397,1.55906935170006,-22.200503589178467,-0.25592831345095074,3.6297789192351106,0.0,0.0,0.001878718201176786,0.0012147700408668763,0.0022851350826557726,0.0023818591581188076,0.15754143181453303,0.16096608679166094,,,,,,,,,,,,,,,,,,
direct_sparse_mask,test_ood_sensor,pooled_global,72,0.32892308382104546,0.13036482931190854,0.3902471757154437,4.791578906562347,-1598.4362584208498,,,0.0,0.0,0.00225350446910347,0.001214770040866876,0.0026917616555556826,0.002793524493635743,0.06852067932858874,0.07111141987218589,9.495398195181181,0.04801665278102806,0.3744116042172318,-1598.4362584208498,8928.0,8447.640939411673,0.0,73728.0,4.791578906562347,46034.57893918198,64800.0,9.49547729389504,89.56256557303304,0.0,0.044582058725898155,7010.737600558452,6153.0,6153.0
direct_sparse_mask,test_ood_shape,mean_per_sample,84,0.24550217123747287,0.08123765604111274,0.5876428602855477,1.751090118894977,0.09652543599213438,0.21647591060917792,5.1282873622533725,0.0,0.0,0.0009237420867321477,0.0005601779232733429,0.0008770970075400474,0.0009793084881162912,0.17468918939090178,0.1824554927749125,,,,,,,,,,,,,,,,,,
direct_sparse_mask,test_ood_shape,pooled_global,84,0.2836234229843283,0.08123765604111272,0.49708583153098224,3.4770748807746625,8.10813662333928,,,0.0,0.0,0.0011965073967475318,0.0005601779232733429,0.001002977861484768,0.001147990997624637,0.0716423011520597,0.08184148248610865,1.5205373866089003,0.010184602379087075,0.12314308181976133,8.10813662333928,10416.0,6141.566796708122,0.0,86016.0,3.4770748807746625,24611.7907782603,75600.0,1.5146446444261992,48.18426424827987,0.0,0.007774094356377502,6081.433802540249,7728.0,7728.0
full_residual_attention,test_id,mean_per_sample,120,0.2172183140449941,0.10386985685510072,0.35107806411340253,1.2802064453945834,-18.362081558945132,-0.1583896322140401,3.0123413912539037,0.0,0.0,0.0016716036898765001,0.0011167594948936568,0.0015948425189986476,0.0017537287253927038,0.11296669577736175,0.12059053283744031,,,,,,,,,,,,,,,,,,
full_residual_attention,test_id,pooled_global,120,0.266260693681178,0.1038698568551007,0.3523198761201421,3.751245491798513,-2203.4497870734153,,,0.0,0.0,0.0021983346217634685,0.001116759494893657,0.001851015113329457,0.0020441225604271745,0.07388199503765137,0.08147929399542729,7.454486749183947,0.049489408326008795,0.5938391174238943,-2203.4497870734153,14880.0,11217.944540350874,0.0,122880.0,3.751245491798513,61682.72968288578,108000.0,7.4343174156861025,137.2274067325326,0.0,0.04058058731312399,7656.633755954865,11844.0,11844.0
full_residual_attention,test_ood_noise,mean_per_sample,84,0.27512430984915187,0.1378690959862836,0.4990637365115786,1.6047356210052857,-6.796419125534054,-0.29249460583923503,4.344755959495972,0.0,0.0,0.002092015861802808,0.0013626745643824762,0.0020430624915249067,0.00486111454773146,0.17274580732240588,0.30369723012675987,,,,,,,,,,,,,,,,,,
full_residual_attention,test_ood_noise,pooled_global,84,0.33170668776631695,0.13786909598628358,0.44282220816900014,5.0031256253067955,-570.8992065448602,,,0.0,0.0,0.00271197693560267,0.0013626745643824758,0.002339071595981492,0.005947913158505975,0.09479443679422812,0.23376309866815417,4.891159168130137,0.26727830396022595,0.6326321024371008,-570.8992065448602,10416.0,10422.90365656304,0.0,86016.0,5.0031256253067955,42420.07816662194,75600.0,4.599978457882164,117.21181532992304,0.0,0.041335338559667534,8318.217099192907,7555.0,7555.0
full_residual_attention,test_ood_sensor,mean_per_sample,72,0.26323412932618057,0.12648612526128888,0.44857037745971606,1.5568569766207387,-29.936013859600173,-0.29642588861313635,4.377016922544935,0.0,0.0,0.002249209399564587,0.0015084635731605152,0.0028182051964362356,0.002908363036603462,0.1835230276749642,0.1868640197268695,,,,,,,,,,,,,,,,,,
full_residual_attention,test_ood_sensor,pooled_global,72,0.32126212525546555,0.12648612526128894,0.381157915670937,4.365456241157074,-2155.392997891213,,,0.0,0.0,0.0027803106964216,0.0015084635731605152,0.003606090380619889,0.0036856194337729384,0.0917955577866179,0.09382041633828973,9.495398195181181,0.08358106362705105,0.5699268453804217,-2155.392997891213,8928.0,8196.300916931523,0.0,73728.0,4.365456241157074,46034.57893918198,64800.0,9.49547729389504,111.21600232197846,0.0,0.08001292183767526,6687.966082413068,6153.0,6153.0
full_residual_attention,test_ood_shape,mean_per_sample,84,0.24956733555867244,0.08020970431803452,0.6028051385013531,1.7807743244327991,-7.10335605308607,0.03474304068038652,5.178767366092307,0.0,0.0,0.0012023643050634255,0.0007357877854754222,0.0011441667489057127,0.0012438949221127023,0.23101867582703187,0.2373143738187127,,,,,,,,,,,,,,,,,,
full_residual_attention,test_ood_shape,pooled_global,84,0.2854437585648381,0.08020970431803454,0.5002761992946247,3.667202859622376,-596.6819084592299,,,0.0,0.0,0.0014228767714968267,0.0007357877854754219,0.0011666288937745063,0.0012922462881184808,0.08333182789972951,0.09212559347209104,1.5205373866089003,0.012904990825637506,0.17414612764331988,-596.6819084592299,10416.0,6063.853646443411,0.0,86016.0,3.667202859622376,24611.7907782603,75600.0,1.5146446444261992,63.289522155453895,0.0,0.010517985556901473,6159.747331353793,7728.0,7728.0
identity,test_id,mean_per_sample,120,0.558161500653699,0.27733787879493155,0.8802867037233058,2.4038195817211276,-178.95341776806922,-2.3087634260790946,3.9679677495113017,5.555555555555555e-05,0.0,0.013900520485926467,0.00962609197786987,0.014327260590976231,0.014361356081607752,0.7284657863432055,0.7293000869665195,,,,,,,,,,,,,,,,,,
identity,test_id,pooled_global,120,0.6511640544811648,0.2773378787949316,0.8616293897416186,5.7341910483340435,-21474.410132168312,,,5.555555555555556e-05,0.0,0.018441752683608346,0.009626091977869868,0.018432389451533464,0.01847215502775066,0.7357161463369781,0.7363052389190771,7.454486749183947,4.041415736657444,41.79127198229,-21474.410132168312,14880.0,29952.49090985261,6.0,122880.0,5.7341910483340435,61682.72968288578,108000.0,7.4343174156861025,1182.8541822406494,0.0,4.024034305696717,45793.57959162172,11844.0,11844.0
identity,test_ood_noise,mean_per_sample,84,0.538113544332757,0.27474913284653046,0.8987916959422048,2.383237063015463,-188.65560834316952,-2.295485985174952,3.918685422696611,0.006124338624338623,0.0,0.01453725895056667,0.010283397388558569,0.014954825256729809,0.015833372385747644,0.7418883585095422,0.7660670168384184,,,,,,,,,,,,,,,,,,
